Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
315,,Antagonist activity at Gal4 DNA binding domain-tagged human androgen receptor expressed in HEK293 cells assessed as inhibition of receptor-mediated transcriptional activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3599048
316,,Antagonist activity at GAL4-fused human AR LBD (667 to 919 residues) expressed in CHO-K1 cells assessed as inhibition of dihydrotestosterone-induced transactivation activity after 5 to 6 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4008020
317,,Antagonist activity at gal-AR expressed in african green monkey CV1 cells co-expressing MH100 with GRIP1 co-factor at 10 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL949855
318,,Antagonist activity at human androgen receptor expressed in African green monkey COS7 cells at 7.5 uM after 24 hrs by ARE-dual luciferase reporter gene assay,ARE luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4190683
319,,Antagonist activity at human androgen receptor expressed in african green monkey CV1 cells co-transfected with MMTV-Luc by luciferase reporter gene assay, luciferase reporter gene assay,Reporter gene,cell-based format,antagonist,Homo sapiens,,CHEMBL1166289
320,,Antagonist activity at human androgen receptor expressed in CHOK1 cells assessed as inhibition of D(-)-norgestrel-induced protein interaction with steroid receptor co-activator peptide after 24 hrs by beta-galactosidase reporter gene assay,beta-galactosidase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3579176
321,,Antagonist activity at human androgen receptor expressed in COS7 cells assessed as inhibition of DHT-induced luciferase activity after 24 hrs by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1937841
322,,Antagonist activity at human androgen receptor expressed in CV1 cells,Competitive Binding Assay,Reporter gene,Other,Antagonist,Homo sapiens,,CHEMBL887361
323,,Antagonist activity at human androgen receptor expressed in CV1 cells assessed as inhibition of DHT-induced response,cotransfection assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL887362
324,,Antagonist activity at human androgen receptor expressed in CV1 cells by transcriptional activation assay,transcriptional activation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL916637
325,,Antagonist activity at human androgen receptor expressed in HEK293 cells assessed as inhibition of transcriptional activity at 10 uM by luciferase and beta-galactosidase reporter gene assay,luciferase and beta-galactosidase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2343830
326,,Antagonist activity at human androgen receptor expressed in HEK293 cells assessed as inhibition of transcriptional activity by luciferase and beta-galactosidase reporter gene assay,luciferase and beta-galactosidase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2343831
327,,Antagonist activity at human androgen receptor expressed in HeLa cells assessed as inhibition of dihydrotestosterone induced transcriptional activity by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL899661
328,,Antagonist activity at human androgen receptor expressed in human CV1 cells assessed as inhibition of receptor-mediated transactivation at 1 uM by MMTV-luciferase reporter gene assay,MMTV-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1250616
329,,Antagonist activity at human androgen receptor expressed in human HeLa cells assessed as inhibition of DHT-induced response after 40 hrs by luciferase/beta-galactosidase-based reporter gene assay,luciferase/beta-galactosidase-based reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2021215
330,,Antagonist activity at human androgen receptor expressed in human MDA-MB-231 cells assessed as inhibition of DHT-induced response,Receptor Binding Assay,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL987690
331,,Antagonist activity at human androgen receptor expressed in human MDA-MB453 cells by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL964137
332,,Antagonist activity at human androgen receptor expressed in LNAR cells assessed as inhibition of R118-induced luciferase activity by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2015629
333,,Antagonist activity at human androgen receptor expressed in MDA-MB-453 cells,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL940964
334,,Antagonist activity at human androgen receptor expressed in mouse NIH3T3 cells assessed as inhibition of dihydrotestosterone -induced luciferase transactivation activity at 0.1 nM by ARE-luciferase reporter gene assay,ARE-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1176920
335,,Antagonist activity at human androgen receptor expressed in mouse NIH3T3 cells assessed as inhibition of DHT-induced transcriptional activation after 24 hrs by androgen response element-mediated luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL975403
336,,Antagonist activity at human androgen receptor in CV1 cells by transcriptional activation assay,transcriptional activation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL933552
337,,Antagonist activity at human androgen receptor in HepG2 cells by luciferase activity relative to R1881 at 5 uM,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL871032
338,,Antagonist activity at human androgen receptor in human LNCAP cells assessed as inhibition of PSA mRNA expression by RT-PCR,RT-PCR,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1250618
339,,Antagonist activity at human androgen receptor in MDA453 cells by alkaline phosphatase reporter gene assay,alkaline phosphatase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL933064
340,,Antagonist activity at human androgen receptor LBD expressed in human MDA-kb2 cells by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2390352
341,,Antagonist activity at human androgen receptor ligand binding domain expressed in human Huh7 cells after 16 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3090518
342,,Antagonist activity at human AR assessed as inhibition of DHT-induced response,ELISA,Binding,assay format,Antagonist,Homo sapiens,,CHEMBL891114
343,,Antagonist activity at human AR assessed as reduction in DHT-induced transactivation,reporter gene assays,Reporter gene,single protein format,Antagonist,Homo sapiens,,CHEMBL4151244
344,,Antagonist activity at human AR expressed in COS7 cells receptor assessed as inhibition of androgen-induced transcriptional activation at 10 nM to 10 uM by ARE-luciferase reporter gene assay,ARE-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2208458
345,,Antagonist activity at human AR expressed in COS7 cells receptor assessed as inhibition of R1881-induced transcriptional activation at 10 uM by ARE-luciferase reporter gene assay,ARE-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2208460
346,,Antagonist activity at human AR expressed in HEK293 cells at 30 uM after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4035633
347,,Antagonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay,transient-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1291499
348,,Antagonist activity at human AR in MDA-MB453-MMTV-luci cells by functional assay,functional assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL899496
349,,Antagonist activity at human AR ligand binding domain expressed in african green monkey COS7 cells in presence of 5-alpha-dihydrotestosterone by Gal4 hybrid assay,Gal4 hybrid assay,Binding,cell-based format,Antagonist,Homo sapiens,,CHEMBL934261
350,,Antagonist activity at human AR overexpressed in human LNCAP cells at 1 uM by luciferase reporter gene assay in the presence of agonist R1881,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1919512
351,,Antagonist activity at human AR overexpressed in human LNCAP cells by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1919237
352,,Antagonist activity at human CMX-AR expressed in HEK293 cells assessed as reduction in dihydrotestosterone-induced transactivation activity after 24 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4151231
353,,Antagonist activity at human GAL4-DBD fused AR ligand binding domain transfected in human Huh7 cells co-expressing GAL4-RE-Luc assessed as reduction in dihydrotestosterone-induced luciferase activity after 16 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL4028149
354,,Antagonist activity at human pSG5-AR assessed as inhibition of dihydrotestosterone-induced effect by reporter gene assay,Reporter gene assay,Reporter gene,single protein format,Antagonist,Homo sapiens,,CHEMBL2405557
355,,Antagonist activity at human wild type AR expressed in human MDA-MB-435 cells by transactivation assay,transactivation assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1212405
356,,Antagonist activity at mouse androgen receptor expressed in mouse C2C12 cells at 5 uM pretreated for 1 day measured 36 hrs post transfection by luciferase reporter gene assay in presence of DHT,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Mus musculus,,CHEMBL3750050
357,,Antagonist activity at rat androgen receptor,�androgen reporter assays,Binding,assay format,Antagonist,Rattus norvegicus,,CHEMBL1912976
358,,Antagonist activity at rat AR expressed in mouse skeletal muscle C2C12 cells assessed as transcriptional activation after 24 hrs by androgen-specific response element driven luciferase reporter gene assay,Competitive Binding Assay,Reporter gene,Other,Antagonist,Rattus norvegicus,,CHEMBL996728
359,,Antagonist activity at wild type Androgen receptor (unknown origin) expressed in human Cos-7 cells co-expressing pGL3-MMTV-luc vector assessed as luciferase activity by reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL2339067
360,,Antagonist activity at wild type androgen receptor expressed in african green monkey CV1 cells assessed as inhibition of dihydrotestosterone-induced transcriptional activity at 1 to 1000 nM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1785915
361,,Antagonist activity at wild type androgen receptor expressed in african green monkey CV1 cells assessed as inhibition of dihydrotestosterone-induced transcriptional activity at 1 uM by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1785916
362,,Antagonist activity at wild type androgen receptor expressed in african green monkey CV1 cells assessed as inhibition of dihydrotestosterone-induced transcriptional activity by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1786230
363,,Antagonist activity at wild type AR expressed in human SC cells assessed as inhibition of 0.3 to 10 nM DHT-induced cell proliferation after 3 days by WST-8 assay,WST-8 assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3626369
364,,Antagonist activity at wild type AR expressed in human SC cells assessed as inhibition of 1 nM DHT-induced cell proliferation after 3 days by WST-8 assay,WST-8 assay,Cell proliferation,cell-based format,Antagonist,Homo sapiens,,CHEMBL3626368
365,,Antagonist activity at wild type AR in human PC3 cells assessed as suppression of DHT-induced receptor transcriptional activation after 24 hrs by PSA-luciferase reporter gene assay,PSA-luciferase reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL3864019
366,,Antagonist activity at wild type androgen receptor in human PC3 cells transiently transfected with pCMV-MMTV-Luc assessed as suppression of DHT-induced receptor transactivation,luciferasae reporter gene assay,Reporter gene,cell-based format,Antagonist,Homo sapiens,,CHEMBL1026526
